date,geography,geography code,Highest level of qualification: Total: All usual residents aged 16 years and over,Highest level of qualification: No qualifications,Highest level of qualification: Level 1 and entry level qualifications,Highest level of qualification: Level 2 qualifications,Highest level of qualification: Apprenticeship,Highest level of qualification: Level 3 qualifications,Highest level of qualification: Level 4 qualifications and above,Highest level of qualification: Other qualifications
2021,Enfield,E09000010,257182,57813,24151,29005,10055,34476,93371,8311
2021,Greenwich,E09000011,229748,38319,18349,23747,7937,30154,104926,6316
2021,Hackney,E09000012,209468,35043,12782,17449,4938,24171,109724,5361
2021,Hammersmith and Fulham,E09000013,154626,18332,7892,11387,3534,20165,89043,4273
2021,Haringey,E09000014,216000,39921,14732,18392,6781,25260,104270,6644
2021,Harrow,E09000015,209620,36454,17150,21857,6656,26422,94317,6764
2021,Havering,E09000016,209730,41947,23453,31228,10778,34125,61921,6278
2021,Hillingdon,E09000017,241878,43906,23872,28514,10298,35836,90664,8788
2021,Hounslow,E09000018,228681,42630,21674,23390,8090,28046,95076,9775
2021,Islington,E09000019,183626,25257,10273,13146,4212,22337,103975,4426
2021,Kensington and Chelsea,E09000020,123089,13971,5446,8803,2378,15439,73226,3826
2021,Kingston upon Thames,E09000021,135466,16128,8744,13319,4324,19766,69582,3603
2021,Lambeth,E09000022,268945,35185,16252,21025,6973,31935,151312,6263
2021,Lewisham,E09000023,242410,35447,17738,23426,7261,31537,120814,6187
2021,Merton,E09000024,172771,24609,12368,16510,5752,21786,86412,5334
2021,Newham,E09000025,276174,57151,24931,28082,8619,35783,111130,10478
2021,Redbridge,E09000026,242017,41948,20878,27163,7557,33074,102696,8701
2021,Richmond upon Thames,E09000027,155834,14163,7779,14029,3743,18830,94089,3201
2021,Southwark,E09000028,256136,35516,15851,20135,6509,31574,140514,6037
2021,Sutton,E09000029,165657,25122,15348,21432,7281,25866,65889,4719
2021,Tower Hamlets,E09000030,252883,40999,17155,21433,5441,33343,127299,7213
2021,Waltham Forest,E09000031,222182,40535,18874,23106,7699,28770,95910,7288
2021,Wandsworth,E09000032,273558,27202,12759,18895,5578,31214,171346,6564
2021,Westminster,E09000033,177467,22882,8615,12181,3746,22019,102356,5668
2021,Cambridgeshire,E10000003,559647,84271,49814,68398,27623,92735,222792,14014
2021,Cumbria,E10000006,420036,77431,40803,57858,32528,74804,126465,10147
2021,Derbyshire,E10000007,659820,124474,68559,95890,43063,118011,193963,15860
2021,Devon,E10000008,683469,106332,67117,98119,42272,127171,224689,17769
2021,East Sussex,E10000011,455639,78950,49001,68015,25590,78092,142839,13152
2021,Essex,E10000012,1224175,230974,142834,193117,69118,212917,341104,34111
2021,Gloucestershire,E10000013,532284,80754,51195,76114,29334,91859,189619,13409
2021,Hampshire,E10000014,1151127,169662,115453,166517,65757,209764,394217,29757
2021,Hertfordshire,E10000015,959081,140644,91151,129038,43603,152048,378323,24274
2021,Kent,E10000016,1276566,229214,137736,189679,71615,222389,389229,36704
2021,Lancashire,E10000017,1012923,188448,96914,137884,64907,188742,310083,25945
2021,Leicestershire,E10000018,587433,98347,56933,80155,37105,112785,187737,14371
2021,Lincolnshire,E10000019,640209,131263,69919,94381,42640,118371,163928,19707
2021,Norfolk,E10000020,767096,156650,86088,113773,48903,134214,204803,22665
2021,North Yorkshire,E10000023,516180,82990,47623,72377,33901,87830,178949,12510
2021,Nottinghamshire,E10000024,679068,131460,69090,95197,41598,120687,203107,17929
2021,Oxfordshire,E10000025,595033,80414,50899,70337,27611,101688,249905,14179
2021,Somerset,E10000027,474940,81075,48500,72670,30819,83785,144903,13188
2021,Staffordshire,E10000028,726398,140207,75857,105827,44202,130440,210506,19359
2021,Suffolk,E10000029,630359,124047,70524,92876,40753,106164,177232,18763
2021,Surrey,E10000030,972512,125027,82079,127462,40761,160632,411979,24572
2021,Warwickshire,E10000031,490566,82751,46971,65835,26722,83442,172279,12566
2021,West Sussex,E10000032,727120,114595,76671,110257,39274,127535,238010,20778
2021,Worcestershire,E10000034,499359,89931,49570,71333,28778,84863,161401,13483
2021,Isle of Anglesey,W06000001,57147,10270,4828,8455,3752,9930,18445,1467
2021,Gwynedd,W06000002,97968,15937,7421,14302,5715,18370,33807,2416
2021,Conwy,W06000003,96364,17998,8317,13890,6111,15948,31232,2868
2021,Denbighshire,W06000004,78908,15668,7175,11990,4966,12903,24010,2196
2021,Flintshire,W06000005,127578,23373,12648,19486,8431,22746,37209,3685
2021,Wrexham,W06000006,110275,23095,10473,16995,6816,17690,32037,3169
2021,Ceredigion,W06000008,61391,9036,4513,8411,3297,13036,21653,1445
2021,Pembrokeshire,W06000009,102551,19283,9333,15533,6373,17462,31991,2576
2021,Carmarthenshire,W06000010,155486,31165,13267,23691,9652,25018,48644,4049
2021,Swansea,W06000011,197861,37304,15552,27362,11525,36055,64835,5228
2021,Neath Port Talbot,W06000012,117182,27722,10667,17359,7557,20433,30280,3164
2021,Bridgend,W06000013,119482,25993,10624,17717,6572,19477,35852,3247
2021,Vale of Glamorgan,W06000014,107457,16740,8902,15459,5671,17835,40062,2788
2021,Cardiff,W06000015,296313,48399,20457,32900,11522,56856,118529,7650
2021,Rhondda Cynon Taff,W06000016,193841,46915,18283,29121,9966,32637,51749,5170
2021,Caerphilly,W06000018,143482,34625,14433,22242,7889,24146,36306,3841
2021,Blaenau Gwent,W06000019,55144,15376,5980,8554,3151,8647,11892,1544
2021,Torfaen,W06000020,75113,16631,7697,11458,4311,12736,20128,2152
2021,Monmouthshire,W06000021,78239,12315,6463,10589,3958,12172,30809,1933
2021,Newport,W06000022,127423,27690,11741,18188,6498,19978,39544,3784
2021,Powys,W06000023,112536,21316,9694,16747,6868,19125,35849,2937
2021,Merthyr Tydfil,W06000024,47674,12831,4556,6911,2713,7453,11911,1299
