"date","geography","geography code","Household deprivation: Total: All households; measures: Value","Household deprivation: Household is not deprived in any dimension; measures: Value","Household deprivation: Household is deprived in one dimension; measures: Value","Household deprivation: Household is deprived in two dimensions; measures: Value","Household deprivation: Household is deprived in three dimensions; measures: Value","Household deprivation: Household is deprived in four dimensions; measures: Value"
"2021","Chelmsford","E07000070",75403,41147,24302,8170,1694,90
"2021","Colchester","E07000071",79710,40941,26500,9832,2292,145
"2021","Epping Forest","E07000072",54557,27885,18102,6906,1560,104
"2021","Harlow","E07000073",37856,16252,13397,6350,1669,188
"2021","Maldon","E07000074",27900,13842,9688,3587,754,29
"2021","Rochford","E07000075",35557,17569,12393,4779,765,51
"2021","Tendring","E07000076",67450,25858,25422,12755,3171,244
"2021","Uttlesford","E07000077",36957,21451,11364,3506,611,25
"2021","Broxbourne","E07000095",39850,18526,13972,5813,1403,136
"2021","Dacorum","E07000096",63412,34197,20159,7241,1673,142
"2021","Hertsmere","E07000098",42682,22141,14147,5171,1147,76
"2021","North Hertfordshire","E07000099",56732,31231,17898,6259,1261,83
"2021","Three Rivers","E07000102",36860,20394,11586,3985,814,81
"2021","Watford","E07000103",39628,20051,13115,5091,1264,107
"2021","Breckland","E07000143",60361,27457,22262,8786,1773,83
"2021","Broadland","E07000144",57759,29450,19966,7131,1170,42
"2021","Great Yarmouth","E07000145",44544,16995,16376,8526,2471,176
"2021","King's Lynn and West Norfolk","E07000146",67464,29662,24812,10524,2330,136
"2021","North Norfolk","E07000147",48374,21480,18213,7186,1413,82
"2021","Norwich","E07000148",64459,28982,22168,10055,3052,202
"2021","South Norfolk","E07000149",61382,31718,21228,7114,1261,61
"2021","Babergh","E07000200",40199,20575,13976,4678,933,37
"2021","Ipswich","E07000202",59507,26895,20605,9332,2519,156
"2021","Mid Suffolk","E07000203",44343,23134,15119,5145,904,41
"2021","St Albans","E07000240",58990,35772,17068,5007,1084,59
"2021","Welwyn Hatfield","E07000241",46209,23806,15375,5712,1240,76
"2021","East Hertfordshire","E07000242",62021,35445,19214,6201,1121,40
"2021","Stevenage","E07000243",36509,17418,12285,5349,1332,125
"2021","East Suffolk","E07000244",110747,51925,39292,15733,3578,219
"2021","West Suffolk","E07000245",78746,38855,28247,9612,1926,106
"2021","City of London","E09000001",4914,2937,1547,347,75,8
"2021","Barking and Dagenham","E09000002",73902,27781,27396,14090,4348,287
"2021","Barnet","E09000003",148921,73825,49136,19877,5415,668
"2021","Bexley","E09000004",95299,46238,32625,13232,2998,206
"2021","Brent","E09000005",118612,47376,43300,21017,6328,591
"2021","Bromley","E09000006",135827,74219,42434,15360,3586,228
"2021","Camden","E09000007",92759,44082,29601,13535,4938,603
"2021","Croydon","E09000008",152946,73406,51772,21635,5581,552
"2021","Ealing","E09000009",133658,61527,45652,20275,5686,518
"2021","Enfield","E09000010",120920,51013,43120,20209,6012,566
"2021","Greenwich","E09000011",114052,55022,36619,16601,5382,428
"2021","Hackney","E09000012",106081,47686,34486,16971,6333,605
"2021","Hammersmith and Fulham","E09000013",81244,41748,25243,10555,3319,379
"2021","Haringey","E09000014",105095,45524,35580,17629,5755,607
"2021","Harrow","E09000015",89642,43681,30953,12012,2763,233
"2021","Havering","E09000016",101277,47903,34966,14859,3337,212
"2021","Hillingdon","E09000017",109228,50136,38207,16448,4110,327
"2021","Hounslow","E09000018",102961,45406,36270,16488,4377,420
"2021","Islington","E09000019",96496,46657,29403,14577,5409,450
"2021","Kensington and Chelsea","E09000020",66884,35174,20245,8121,2918,426
"2021","Kingston upon Thames","E09000021",65626,36639,20274,7045,1552,116
"2021","Lambeth","E09000022",134688,67366,42725,18625,5499,473
"2021","Lewisham","E09000023",122392,57783,39762,18556,5755,536
"2021","Merton","E09000024",81729,44057,25596,9632,2276,168
"2021","Newham","E09000025",115507,45399,41296,21230,7081,501
"2021","Redbridge","E09000026",103713,47994,36254,15319,3869,277
"2021","Richmond upon Thames","E09000027",80705,49261,22644,6992,1678,130
"2021","Southwark","E09000028",130818,63507,41817,19018,6066,410
"2021","Sutton","E09000029",82348,41892,27257,10463,2549,187
"2021","Tower Hamlets","E09000030",120539,55936,38337,18685,7054,527
"2021","Waltham Forest","E09000031",102901,46576,34786,16559,4600,380
"2021","Wandsworth","E09000032",137392,80186,38272,14425,4113,396
"2021","Westminster","E09000033",94815,47540,28839,12728,5025,683
"2021","Medway","E06000035",111458,51808,38410,16523,4326,391
"2021","Bracknell Forest","E06000036",50248,28327,15641,5132,1069,79
"2021","West Berkshire","E06000037",66658,37321,21058,6829,1365,85
"2021","Reading","E06000038",67683,34684,21772,8682,2350,195
"2021","Slough","E06000039",52424,22184,19176,8603,2293,168
"2021","Windsor and Maidenhead","E06000040",60933,35924,18161,5724,1071,53
"2021","Wokingham","E06000041",69164,42518,20173,5513,900,60
"2021","Milton Keynes","E06000042",113102,57966,36777,14442,3653,264
"2021","Brighton and Hove","E06000043",121401,58122,40060,17461,5195,563
"2021","Portsmouth","E06000044",86155,40658,28802,12890,3524,281
"2021","Southampton","E06000045",102291,46401,35075,15830,4573,412
"2021","Isle of Wight","E06000046",64775,28569,23476,10070,2465,195
"2021","Buckinghamshire","E06000060",220328,125932,68311,21635,4208,242
"2021","Eastbourne","E07000061",45609,19705,16400,7386,1882,236
"2021","Hastings","E07000062",40450,17007,14173,7001,2076,193
"2021","Lewes","E07000063",43688,20934,15304,5977,1367,106
"2021","Rother","E07000064",42102,19251,15475,6112,1192,72
"2021","Wealden","E07000065",68265,35828,23388,7707,1287,55
"2021","Basingstoke and Deane","E07000084",76644,42182,24524,8202,1650,86
"2021","East Hampshire","E07000085",52718,30044,16634,5006,973,61
"2021","Eastleigh","E07000086",56922,31397,18289,6032,1150,54
"2021","Fareham","E07000087",48639,26566,16065,5161,800,47
"2021","Gosport","E07000088",35922,16523,12813,5305,1208,73
"2021","Hart","E07000089",39964,24252,11899,3264,526,23
"2021","Havant","E07000090",53589,24402,18946,8020,2020,201
"2021","New Forest","E07000091",77566,39907,26596,9265,1671,127
"2021","Rushmoor","E07000092",39304,20081,12889,5038,1212,84
"2021","Test Valley","E07000093",54707,30460,17505,5573,1116,53
"2021","Winchester","E07000094",51715,30153,15705,4907,894,56
"2021","Ashford","E07000105",53583,26784,18085,7081,1528,105
"2021","Canterbury","E07000106",63792,30170,22294,9079,2092,157
"2021","Dartford","E07000107",45696,23846,14682,5787,1282,99
"2021","Dover","E07000108",50547,22821,17679,8002,1918,127
"2021","Gravesham","E07000109",41724,18835,14736,6385,1626,142
"2021","Maidstone","E07000110",71209,36704,23765,8647,1937,156
"2021","Sevenoaks","E07000111",49013,26797,15559,5399,1193,65
"2021","Folkestone and Hythe","E07000112",48338,21473,17142,7645,1919,159
"2021","Swale","E07000113",60494,26811,21299,9541,2675,168
"2021","Thanet","E07000114",62200,25596,22482,10956,2910,256
"2021","Tonbridge and Malling","E07000115",53575,28883,17151,6164,1314,63
"2021","Tunbridge Wells","E07000116",48223,26644,14989,5298,1188,104
"2021","Cherwell","E07000177",65894,35653,21456,7160,1530,95
"2021","Oxford","E07000178",55239,28832,17781,6713,1767,146
"2021","South Oxfordshire","E07000179",61497,36075,19008,5413,956,45
"2021","Vale of White Horse","E07000180",57498,33434,17813,5252,950,49
"2021","West Oxfordshire","E07000181",47982,27166,15276,4656,844,40
"2021","Elmbridge","E07000207",55587,34389,15626,4642,876,54
"2021","Epsom and Ewell","E07000208",31321,18039,9574,3057,596,55
"2021","Guildford","E07000209",55760,32183,17103,5312,1074,88
"2021","Mole Valley","E07000210",37141,21063,11510,3688,794,86
"2021","Reigate and Banstead","E07000211",59849,34148,18454,5919,1230,98
"2021","Runnymede","E07000212",34838,18603,11306,4106,773,50
"2021","Spelthorne","E07000213",41805,21283,14028,5260,1145,89
"2021","Surrey Heath","E07000214",36008,20857,11192,3293,626,40
"2021","Tandridge","E07000215",35622,19938,11272,3602,760,50
"2021","Waverley","E07000216",52448,31228,15702,4609,864,45
"2021","Woking","E07000217",41437,23292,12851,4289,929,76
"2021","Adur","E07000223",27678,12584,9872,4194,936,92
"2021","Arun","E07000224",72663,33371,26510,10515,2074,193
"2021","Chichester","E07000225",54118,28937,18012,5917,1184,68
"2021","Crawley","E07000226",45504,20934,15812,6931,1708,119
"2021","Horsham","E07000227",62370,35372,19802,6037,1071,88
"2021","Mid Sussex","E07000228",63349,36299,19835,6078,1068,69
"2021","Worthing","E07000229",49537,23654,17226,6875,1599,183
"2021","Bath and North East Somerset","E06000022",79250,42870,25495,8952,1819,114
"2021","Bristol, City of","E06000023",191638,96135,60901,26503,7515,584
"2021","North Somerset","E06000024",94647,48754,31684,11454,2565,190
"2021","South Gloucestershire","E06000025",118101,63701,38638,13163,2454,145
"2021","Plymouth","E06000026",114557,52100,38898,18228,5049,282
"2021","Torbay","E06000027",62994,26537,22606,10615,2984,252
"2021","Swindon","E06000030",95862,47251,32397,12869,3167,178
"2021","Cornwall","E06000052",250535,115522,88881,36692,8750,690
"2021","Isles of Scilly","E06000053",942,478,337,106,21,0
